"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"14.03.2021","3.913,10","3.942,96","3.983,87","3.886,75","","-0,77%"
"07.03.2021","3.943,34","3.844,39","3.960,27","3.819,25","","2,64%"
"28.02.2021","3.841,94","3.842,51","3.914,50","3.723,34","","0,81%"
"21.02.2021","3.811,15","3.885,55","3.928,65","3.789,54","","-2,45%"
"14.02.2021","3.906,71","3.939,61","3.950,43","3.885,03","","-0,71%"
"07.02.2021","3.934,83","3.892,59","3.937,23","3.884,94","","1,23%"
"31.01.2021","3.886,83","3.731,17","3.894,56","3.725,62","","4,65%"
"24.01.2021","3.714,24","3.851,68","3.870,90","3.694,12","","-3,31%"
"17.01.2021","3.841,47","3.781,88","3.861,45","3.780,37","","1,94%"
"10.01.2021","3.768,25","3.803,14","3.823,60","3.749,62","","-1,48%"
"03.01.2021","3.824,68","3.764,61","3.826,69","3.662,71","","1,83%"
"27.12.2020","3.756,07","3.723,03","3.760,20","3.723,03","","1,43%"
"20.12.2020","3.703,06","3.684,28","3.711,24","3.636,48","","-0,17%"
"13.12.2020","3.709,41","3.675,27","3.726,70","3.645,84","","1,25%"
"06.12.2020","3.663,46","3.694,73","3.712,39","3.633,40","","-0,96%"
"29.11.2020","3.699,12","3.634,18","3.699,20","3.594,39","","1,67%"
"22.11.2020","3.638,35","3.566,82","3.644,31","3.552,77","","2,27%"
"15.11.2020","3.557,54","3.600,16","3.628,51","3.543,84","","-0,77%"
"08.11.2020","3.585,15","3.583,04","3.645,99","3.511,91","","2,16%"
"01.11.2020","3.509,44","3.296,20","3.529,05","3.279,74","","7,32%"
"25.10.2020","3.269,96","3.441,42","3.441,42","3.233,94","","-5,64%"
"18.10.2020","3.465,39","3.493,66","3.502,42","3.415,34","","-0,53%"
"11.10.2020","3.483,81","3.500,02","3.549,85","3.440,89","","0,19%"
"04.10.2020","3.477,13","3.367,27","3.482,34","3.354,54","","3,84%"
"27.09.2020","3.348,44","3.333,90","3.397,18","3.323,69","","1,52%"
"20.09.2020","3.298,46","3.285,57","3.323,35","3.209,45","","-0,63%"
"13.09.2020","3.319,47","3.363,56","3.428,92","3.292,40","","-0,64%"
"06.09.2020","3.340,97","3.371,88","3.425,55","3.310,47","","-2,51%"
"30.08.2020","3.426,96","3.509,73","3.588,11","3.349,63","","-2,31%"
"23.08.2020","3.508,01","3.418,09","3.509,23","3.413,13","","3,26%"
"16.08.2020","3.397,16","3.380,86","3.399,96","3.354,69","","0,72%"
"09.08.2020","3.372,85","3.356,04","3.387,89","3.326,44","","0,64%"
"02.08.2020","3.351,28","3.288,26","3.352,54","3.284,53","","2,45%"
"26.07.2020","3.271,12","3.219,84","3.272,17","3.204,13","","1,73%"
"19.07.2020","3.215,63","3.224,29","3.279,99","3.200,05","","-0,28%"
"12.07.2020","3.224,73","3.205,08","3.238,28","3.127,66","","1,25%"
"05.07.2020","3.185,04","3.155,29","3.186,82","3.115,70","","1,76%"
"28.06.2020","3.130,01","3.018,59","3.165,81","2.999,74","","4,02%"
"21.06.2020","3.009,05","3.094,42","3.154,90","3.004,63","","-2,86%"
"14.06.2020","3.097,74","2.993,76","3.155,53","2.965,66","","1,86%"
"07.06.2020","3.041,31","3.199,92","3.233,13","2.984,47","","-4,78%"
"31.05.2020","3.193,93","3.038,78","3.211,72","3.031,54","","4,91%"
"24.05.2020","3.044,31","3.004,08","3.068,67","2.969,75","","3,01%"
"17.05.2020","2.955,45","2.913,86","2.980,29","2.913,86","","3,20%"
"10.05.2020","2.863,70","2.915,46","2.945,82","2.766,64","","-2,26%"
"03.05.2020","2.929,80","2.815,01","2.932,16","2.797,85","","3,50%"
"26.04.2020","2.830,71","2.854,65","2.954,86","2.821,61","","-0,21%"
"19.04.2020","2.836,74","2.845,62","2.868,98","2.727,10","","-1,32%"
"12.04.2020","2.874,56","2.782,46","2.879,22","2.721,17","","3,04%"
"05.04.2020","2.789,82","2.578,28","2.818,57","2.574,57","","12,10%"
"29.03.2020","2.488,65","2.558,98","2.641,39","2.447,49","","-2,08%"
"22.03.2020","2.541,47","2.290,71","2.637,01","2.191,86","","10,26%"
"15.03.2020","2.304,92","2.508,59","2.562,98","2.280,52","","-14,98%"
"08.03.2020","2.711,02","2.863,89","2.882,59","2.478,86","","-8,79%"
"01.03.2020","2.972,37","2.974,28","3.136,72","2.901,54","","0,61%"
"23.02.2020","2.954,22","3.257,61","3.259,81","2.855,84","","-11,49%"
"16.02.2020","3.337,75","3.369,04","3.393,52","3.328,45","","-1,25%"
"09.02.2020","3.380,16","3.318,28","3.385,09","3.317,77","","1,58%"
"02.02.2020","3.327,71","3.235,66","3.347,96","3.235,66","","3,17%"
"26.01.2020","3.225,52","3.247,16","3.293,47","3.214,68","","-2,12%"
"19.01.2020","3.295,47","3.321,03","3.337,77","3.281,53","","-1,03%"
"12.01.2020","3.329,62","3.271,13","3.329,88","3.268,43","","1,97%"
"05.01.2020","3.265,35","3.217,55","3.282,99","3.214,64","","0,94%"
"29.12.2019","3.234,85","3.240,09","3.258,14","3.212,03","","-0,16%"
"22.12.2019","3.240,02","3.226,05","3.247,93","3.220,51","","0,58%"
"15.12.2019","3.221,22","3.183,63","3.225,65","3.183,63","","1,65%"
"08.12.2019","3.168,80","3.141,86","3.182,68","3.126,09","","0,73%"
"01.12.2019","3.145,91","3.143,85","3.150,60","3.070,33","","0,16%"
"24.11.2019","3.140,98","3.117,44","3.154,26","3.117,44","","0,99%"
"17.11.2019","3.110,29","3.117,91","3.127,64","3.091,41","","-0,33%"
"10.11.2019","3.120,46","3.080,33","3.120,46","3.075,82","","0,89%"
"03.11.2019","3.093,08","3.078,96","3.097,77","3.065,89","","0,85%"
"27.10.2019","3.066,91","3.032,12","3.066,95","3.023,19","","1,47%"
"20.10.2019","3.022,55","2.996,48","3.027,39","2.991,21","","1,22%"
"13.10.2019","2.986,20","2.965,81","3.008,29","2.962,94","","0,54%"
"06.10.2019","2.970,27","2.944,23","2.993,28","2.892,66","","0,62%"
"29.09.2019","2.952,01","2.967,07","2.992,53","2.855,94","","-0,33%"
"22.09.2019","2.961,79","2.983,50","3.007,98","2.945,53","","-1,01%"
"15.09.2019","2.992,07","2.996,41","3.021,99","2.978,57","","-0,51%"
"08.09.2019","3.007,39","2.988,43","3.020,74","2.957,01","","0,96%"
"01.09.2019","2.978,71","2.909,01","2.985,86","2.891,85","","1,79%"
"25.08.2019","2.926,46","2.866,70","2.940,43","2.853,05","","2,79%"
"18.08.2019","2.847,11","2.913,48","2.939,08","2.834,97","","-1,44%"
"11.08.2019","2.888,68","2.907,07","2.943,31","2.825,51","","-1,03%"
"04.08.2019","2.918,65","2.898,07","2.938,72","2.822,12","","-0,46%"
"28.07.2019","2.932,05","3.024,47","3.025,61","2.914,11","","-3,10%"
"21.07.2019","3.025,86","2.981,93","3.027,98","2.976,65","","1,65%"
"14.07.2019","2.976,61","3.017,80","3.017,80","2.973,09","","-1,23%"
"07.07.2019","3.013,77","2.979,77","3.013,92","2.963,44","","0,78%"
"30.06.2019","2.990,41","2.971,41","2.995,84","2.952,22","","1,65%"
"23.06.2019","2.941,76","2.951,42","2.954,92","2.912,99","","-0,29%"
"16.06.2019","2.950,46","2.889,75","2.964,15","2.887,30","","2,20%"
"09.06.2019","2.886,98","2.885,83","2.910,61","2.874,68","","0,47%"
"02.06.2019","2.873,34","2.751,53","2.884,97","2.728,81","","4,41%"
"26.05.2019","2.752,06","2.830,03","2.840,51","2.750,52","","-2,62%"
"19.05.2019","2.826,06","2.841,94","2.868,88","2.805,49","","-1,17%"
"12.05.2019","2.859,53","2.840,19","2.892,15","2.801,43","","-0,76%"
"05.05.2019","2.881,40","2.908,89","2.937,32","2.825,39","","-2,18%"
"28.04.2019","2.945,64","2.940,58","2.954,13","2.900,50","","0,20%"
"21.04.2019","2.939,88","2.898,78","2.939,88","2.896,35","","1,20%"
"14.04.2019","2.905,03","2.908,32","2.918,00","2.891,90","","-0,08%"
"07.04.2019","2.907,41","2.888,46","2.910,54","2.873,33","","0,51%"
"31.03.2019","2.892,74","2.848,63","2.893,24","2.848,63","","2,06%"
"24.03.2019","2.834,40","2.796,01","2.836,03","2.785,02","","1,20%"
"17.03.2019","2.800,71","2.822,61","2.860,31","2.800,47","","-0,77%"
"10.03.2019","2.822,48","2.747,61","2.830,73","2.747,61","","2,89%"
"03.03.2019","2.743,07","2.814,37","2.816,88","2.722,27","","-2,16%"
"24.02.2019","2.803,69","2.804,35","2.813,49","2.775,13","","0,39%"
"17.02.2019","2.792,67","2.769,28","2.794,20","2.764,55","","0,61%"
"10.02.2019","2.775,60","2.712,40","2.775,66","2.703,79","","2,50%"
"03.02.2019","2.707,88","2.706,49","2.738,98","2.681,83","","0,05%"
"27.01.2019","2.706,53","2.644,97","2.716,66","2.624,06","","1,57%"
"20.01.2019","2.664,76","2.657,88","2.672,38","2.612,86","","-0,22%"
"13.01.2019","2.670,71","2.580,31","2.675,47","2.570,41","","2,87%"
"06.01.2019","2.596,26","2.535,61","2.597,82","2.524,56","","2,54%"
"30.12.2018","2.531,94","2.498,94","2.538,07","2.443,96","","1,86%"
"23.12.2018","2.485,74","2.400,56","2.520,27","2.346,58","","2,86%"
"16.12.2018","2.416,62","2.590,75","2.601,13","2.408,55","","-7,05%"
"09.12.2018","2.599,95","2.630,86","2.685,44","2.583,23","","-1,26%"
"02.12.2018","2.633,08","2.790,50","2.800,18","2.621,53","","-4,60%"
"25.11.2018","2.760,17","2.649,97","2.760,88","2.649,97","","4,85%"
"18.11.2018","2.632,56","2.730,74","2.733,16","2.631,09","","-3,79%"
"11.11.2018","2.736,27","2.773,93","2.775,99","2.670,75","","-1,61%"
"04.11.2018","2.781,01","2.726,37","2.815,15","2.717,94","","2,13%"
"28.10.2018","2.723,06","2.682,65","2.756,55","2.603,54","","2,42%"
"21.10.2018","2.658,69","2.773,94","2.778,94","2.628,16","","-3,94%"
"14.10.2018","2.767,78","2.763,83","2.816,94","2.749,03","","0,02%"
"07.10.2018","2.767,13","2.877,53","2.894,83","2.710,51","","-4,10%"
"30.09.2018","2.885,57","2.926,29","2.939,86","2.869,29","","-0,97%"
"23.09.2018","2.913,98","2.921,83","2.931,15","2.903,28","","-0,54%"
"16.09.2018","2.929,67","2.903,83","2.940,91","2.886,16","","0,85%"
"09.09.2018","2.904,98","2.881,39","2.908,30","2.866,78","","1,16%"
"02.09.2018","2.871,68","2.896,96","2.900,18","2.864,12","","-1,03%"
"26.08.2018","2.901,52","2.884,69","2.916,50","2.884,69","","0,93%"
"19.08.2018","2.874,69","2.853,93","2.876,16","2.850,62","","0,86%"
"12.08.2018","2.850,13","2.835,46","2.855,63","2.802,49","","0,59%"
"05.08.2018","2.833,28","2.840,29","2.863,43","2.825,81","","-0,25%"
