"Tarih","Şimdi","Açılış","Yüksek","Düşük","Hac.","Fark %"
"17.12.2017","1.110,99","1.098,12","1.121,57","1.096,28","5,05B","1,62%"
"10.12.2017","1.093,30","1.087,89","1.100,51","1.078,52","4,70B","1,31%"
"03.12.2017","1.079,21","1.033,51","1.081,82","1.033,51","4,43B","4,21%"
"26.11.2017","1.035,59","1.047,87","1.061,81","1.014,91","4,76B","-0,94%"
"19.11.2017","1.045,39","1.063,99","1.069,47","1.030,16","4,81B","-1,60%"
"12.11.2017","1.062,39","1.096,38","1.107,05","1.056,24","5,29B","-2,49%"
"05.11.2017","1.089,49","1.119,14","1.150,93","1.087,13","5,95B","-2,11%"
"29.10.2017","1.112,93","1.087,82","1.145,40","1.082,94","7,32B","3,16%"
"22.10.2017","1.078,84","1.081,67","1.088,47","1.069,32","4,23B","-0,56%"
"15.10.2017","1.084,89","1.065,55","1.092,73","1.060,88","4,37B","2,13%"
"08.10.2017","1.062,26","1.003,24","1.065,99","992,10","4,78B","2,01%"
"01.10.2017","1.041,37","1.029,34","1.050,48","1.028,83","4,42B","1,20%"
"24.09.2017","1.029,08","1.036,77","1.041,37","1.009,87","4,50B","-1,17%"
"17.09.2017","1.041,23","1.080,17","1.080,74","1.034,12","4,33B","-3,36%"
"10.09.2017","1.077,42","1.090,29","1.098,65","1.074,49","5,13B","-0,65%"
"03.09.2017","1.084,52","1.103,49","1.104,40","1.081,17","4,58B","-1,42%"
"27.08.2017","1.100,10","1.101,75","1.105,31","1.094,45","2,00B","0,23%"
"20.08.2017","1.097,55","1.072,35","1.102,30","1.068,00","5,00B","2,38%"
"13.08.2017","1.072,02","1.079,07","1.102,33","1.049,39","6,96B","0,22%"
"06.08.2017","1.069,63","1.091,05","1.103,22","1.060,76","5,27B","-1,46%"
"30.07.2017","1.085,45","1.079,21","1.086,49","1.059,76","4,54B","0,79%"
"23.07.2017","1.077,00","1.072,13","1.086,06","1.065,75","4,58B","0,80%"
"16.07.2017","1.068,43","1.053,62","1.077,50","1.051,98","4,31B","1,59%"
"09.07.2017","1.051,76","1.005,89","1.052,00","1.005,89","4,32B","5,09%"
"02.07.2017","1.000,84","1.006,39","1.014,16","1.000,84","3,80B","-0,35%"
"25.06.2017","1.004,40","994,39","1.009,91","994,19","2,39B","0,80%"
"18.06.2017","996,39","987,36","1.002,66","987,23","3,49B","1,47%"
"11.06.2017","981,93","989,15","1.000,01","979,30","4,28B","-0,76%"
"04.06.2017","989,43","991,50","992,78","974,70","4,34B","0,08%"
"28.05.2017","988,68","976,95","988,68","969,26","3,97B","1,37%"
"21.05.2017","975,33","958,55","987,95","958,55","5,14B","2,51%"
"14.05.2017","951,47","955,69","966,29","943,64","3,58B","0,16%"
"07.05.2017","949,96","943,33","964,91","936,73","4,33B","1,14%"
"30.04.2017","939,28","949,94","953,59","930,00","3,03B","-0,77%"
"23.04.2017","946,55","929,20","951,96","927,71","4,21B","2,41%"
"16.04.2017","924,24","907,31","929,09","900,52","3,93B","2,62%"
"09.04.2017","900,64","887,66","918,32","887,31","3,73B","1,77%"
"02.04.2017","884,97","890,20","890,70","879,98","2,80B","-0,51%"
"26.03.2017","889,47","902,91","903,90","888,19","3,23B","-1,59%"
"19.03.2017","903,83","902,62","914,97","892,77","3,60B","-0,12%"
"12.03.2017","904,91","895,51","908,44","889,21","3,32B","0,98%"
"05.03.2017","896,11","900,65","914,38","886,49","3,70B","-0,12%"
"26.02.2017","897,22","884,17","900,43","872,45","3,98B","1,66%"
"19.02.2017","882,58","894,59","895,83","874,67","3,35B","-0,64%"
"12.02.2017","888,30","877,32","889,98","875,05","3,81B","1,55%"
"05.02.2017","874,73","891,22","895,38","868,77","4,91B","-1,04%"
"29.01.2017","883,90","836,70","883,90","836,50","5,08B","5,44%"
"22.01.2017","838,27","834,30","842,78","828,11","4,04B","0,92%"
"15.01.2017","830,67","816,62","833,18","813,45","4,48B","1,89%"
"08.01.2017","815,24","767,87","816,42","766,36","4,71B","5,73%"
"01.01.2017","771,07","779,07","779,69","756,57","2,95B","-1,32%"
"25.12.2016","781,39","770,86","783,72","765,14","1,76B","1,52%"
"18.12.2016","769,72","777,41","782,03","768,84","2,51B","-0,80%"
"11.12.2016","775,90","753,47","779,04","749,09","3,16B","2,46%"
"04.12.2016","757,27","730,69","764,59","730,14","3,43B","3,18%"
"27.11.2016","733,91","750,00","753,33","717,93","3,36B","-1,31%"
"20.11.2016","743,63","758,81","762,16","737,53","3,22B","-1,69%"
"13.11.2016","756,39","753,97","757,84","742,92","3,22B","0,62%"
"06.11.2016","751,74","752,02","771,08","745,09","4,11B","1,22%"
"30.10.2016","742,67","785,59","789,57","742,39","3,36B","-5,19%"
"23.10.2016","783,33","792,42","802,91","780,71","3,06B","-0,65%"
"16.10.2016","788,44","774,18","795,41","769,91","3,60B","1,66%"
"09.10.2016","775,54","782,97","785,06","766,13","4,09B","-0,54%"
"02.10.2016","779,76","769,24","786,06","764,85","3,72B","1,95%"
"25.09.2016","764,88","762,44","778,57","761,48","3,51B","-4,10%"
"18.09.2016","797,56","765,12","800,87","765,12","3,54B","4,91%"
"11.09.2016","760,20","771,42","772,55","760,10","573,93M","-1,34%"
"04.09.2016","770,54","773,33","782,94","770,21","2,65B","0,22%"
"28.08.2016","768,84","767,47","769,75","757,31","1,96B","-0,31%"
"21.08.2016","771,20","777,16","782,93","751,14","3,08B","-1,31%"
"14.08.2016","781,46","787,19","790,41","772,74","2,56B","-0,11%"
"07.08.2016","782,29","774,14","793,67","769,81","3,69B","2,84%"
"31.07.2016","760,66","762,28","768,43","741,42","3,29B","0,88%"
"24.07.2016","754,06","724,23","759,24","723,95","3,37B","5,11%"
"17.07.2016","717,38","807,56","811,10","704,26","5,07B","-13,39%"
"10.07.2016","828,25","786,26","828,25","786,26","3,30B","6,16%"
"03.07.2016","780,19","781,20","783,88","776,50","635,36M","0,09%"
"26.06.2016","779,52","754,58","779,52","748,82","3,09B","3,43%"
"19.06.2016","753,66","764,46","783,51","740,17","2,80B","-0,09%"
"12.06.2016","754,31","764,68","766,16","746,72","2,73B","-1,89%"
"05.06.2016","768,87","785,21","794,20","767,23","2,81B","-1,60%"
"29.05.2016","781,39","779,48","791,06","762,34","2,70B","0,14%"
"22.05.2016","780,29","765,34","799,41","762,08","3,32B","2,19%"
"15.05.2016","763,58","779,60","782,01","763,02","2,45B","-1,86%"
"08.05.2016","778,08","790,32","797,37","775,86","3,26B","-0,71%"
"01.05.2016","783,68","852,42","852,69","772,09","4,27B","-8,16%"
"24.04.2016","853,28","855,73","861,21","847,63","3,02B","-0,58%"
"17.04.2016","858,29","851,80","869,31","849,98","3,74B","0,30%"
